,column2
0,চিৎকার করা
2,ঘোষণা
3,ছিটানো
5,মত
6,আপনারা/তোমরা
8,আপনি/তুমি
10,আবার
11,আমরা
12,হস্তান্তর
14,অন্য
15,কী
16,কিন্তু
17,কোথায়
18,কোনটা
19,উপরে
20,এখন
21,দুঃখিত
22,ধৈর্য ধরা
24,নাও/দাও
26,পছন্দ করা
28,জমা করা
30,পরে
31,তাকাও
32,তাড়াতাড়ি
33,সাহায্য
34,সাথে
35,শুরু করা
37,শেষ
38,সব সময়
40,জানা
41,ভয়
42,মনে রাখা
44,উভয়
45,একই রকম
47,একত্রে
48,পেপার
49,এপার
50,নিজে
51,ব্যাকরন
52,বেড়ানো
53,বানান করা
55,কাছে
56,অসুবিধা
57,সুবিধা
58,তখন
59,খোঁজ করা
61,ঘৃণা করা
63,পরিশোধ করা
65,পরিশ্রম
66,একমত
67,কীটনাশক
68,অনাহার
69,নিশ্চয়
70,ড্রেন
71,সাধারণ
72,বয়স কত
74,বাইরে
76,দামী
77,পরিষ্কার
78,কঠিন
79,শক্ত
80,বাছাই করা
82,পরিচয়
83,আঠা
84,নাগরিক
85,নতুন
86,নকল
87,প্রধান
88,লাইব্রেরী
89,শিশু
90,ফুপু
91,ফুপুা
92,চাচা
93,যাও (নির্দেশ)
95,যাও (অনুরোধ)
97,বস
98,দাঁড়ানো
99,খাবার
100,পানি/জল
102,আসসালামুয়ালাইকুম
105,খোদা হাফেজ
106,ভাত
107,বিস্কুট
108,চকলেট
109,বল
110,আপনি/তুমি
112,বিছানা
113,চেয়ার
114,টেবিল
115,বাথরুম
116,কী
120,কোথায়
121,তাকাও
122,গল্প
123,হাসা
124,মাছ
125,গোস্ত/মাংস
127,কেক
128,চিনি
129,চা
130,আইসক্রিম
131,জানালা
133,গাছ
134,দুষ্টু
135,আলো
137,বাটি
139,এবং
140,ফুল
141,বই
142,চামচ
143,গরম
144,ঠান্ডা
145,পাখি
146,কাপ
147,গ্যাস
150,দয়া করে
152,আমরা
153,চুল
154,মাথা
155,ঈদ
156,ভুল
157,ঠেলাগাড়ী 
158,বেবি ট্যাক্সি
160,আপেল
161,কমলা
162,দৌড়ানো
165,লাফ দেওয়া
167,উপরে
168,বেশি
169,রেলগাড়ি
170,মোটর সাইকেল
171,হাঁটা
172,বড়
173,বিড়াল
174,বাঘ
175,যাদু
176,আবার
177,বিদ্যালয়/স্কুল
179,মহাশয়/স্যার
181,শিক্ষক
182,বাইরে
183,ঝুঁড়ি
184,কাটা
185,গান
186,চিন্তা
187,আপা/ম্যাডাম
189,নাম
190,কলম
191,কাজ
192,বাক্স
193,আলনা
194,ভুল
195,খেলা করা
197,ভাঙ্গা
198,প্যান্ট
199,জুতা
200,মোজা
202,দোকানদার
203,রিক্সাওয়ালা
204,শক্ত
205,রাগ
206,রাস্তা
207,সূর্য
208,দুঃখিত
209,রাখা
210,বাজারসদাই
212,বাগান
213,নার্স
214,হাসপাতাল
215,ভুলে যাওয়া
217,ডাকপিয়ন
219,টাকা
220,টিকেট
221,চালাক
222,ধৈর্য ধরা
224,আগুন
227,চিঠির বাক্স
229,থামানো
230,সাহায্য করা
232,ঝগড়া করা
234,কঠিন
235,কী ব্যাপার
237,পকেট
238,চুড়ি
240,ঔষধ
241,মশারী
242,মশা
243,ঝাল
244,বন্ধু
245,শেষ
246,আমাদের
247,তাদের
248,কালো রং
250,দয়ালু
251,শহর
253,পিকনিক স্পট
255,গ্রাম
256,সমুদ্র
258,রং
259,লাল রং
261,নিয়ে আসা
263,শুনা/শ্রবণ
266,করতে পারবে
268,বেড়ে উঠা
270,ব্যাগ
271,মোমবাতি
272,আরো
273,শোয়া
275,মজা (সুস্বাদু)
277,এখন
278,আজ
279,জমা করা
281,বাতাস
282,বজ্রপাত
284,বিজলী চমকানো
286,ঝড়
287,কিছু
288,গতকাল
289,অনেক দিন আগে
291,রাত
292,সত্য
293,চেষ্টা
294,অফিস
295,তারা
296,বেতন
297,কোনটা
298,কীভাবে
299,অনেকগুলো
300,ঘূর্ণিঝড়
301,কাক
302,পিঁপড়া
303,শার্ট
304,শুক্রবার
305,শনিবার
306,রবিবার
307,সোমবার
308,জিতে যাওয়া
310,খুঁজে পাওয়া
312,পছন্দ করা
314,বুঝতে পারা
316,গান বাজনা
317,দাওয়াত
318,উপহার
319,রেডিও
320,এক
321,দুই
322,তিন
323,চার
324,নয়
325,দশ
326,এগার
327,বারো
328,সতের
329,আঠারো
330,উনিশ
331,বিশ
332,একবার
333,দুইবার
334,দেড়
335,আড়াই
336,ফিডার
337,দাঁত
338,চুমু
339,লজ্জা
340,দোয়েল
341,কাঁচা
342,পাকা
343,মজা/আমোদ
345,স্ত্রী
346,বউ
347,দুলাভাই
348,ভাবী
349,বাড়িওয়ালা
352,অপ্রিয়
353,প্রিয়
354,প্রেমিক
355,ভাড়াটে
356,মালিক
357,তেঁতুল
358,খেঁজুর
359,জলপাই
360,ডালিম
361,আতা
362,ফল
363,বাঁধাকপি
364,লাউ
365,শশা
366,টমেটো
367,পিঁয়াজ
369,রসুন
370,রান্নার হলুদ
372,আদা
373,কাবাব
374,চানাচুর
375,সিঙ্গারা
376,চটপটি
377,শরবত
378,মদ
379,মধু
380,মিষ্টি (স্বাদ)
382,পাঞ্জাবী
383,পায়জামা
384,টাই
386,লুঙ্গি
387,ওড়না
388,ফিতা
389,বোরখা
391,শাল
392,বোতাম
393,বেল্ট
394,আংটি
395,স্বর্ণ/সোনা
397,আলমিরা
398,ড্রেসিং টেবিল
400,বুকসেলফ
402,সোফা
403,ভিসিআর
404,সুইচ
405,এসি/এয়ার কুলার
408,গালিচা/কার্পেট
410,রুমাল
411,পর্দা
412,বস্তা
414,চুলা
415,ঝাড়ু
416,কেটলি
417,ফুলদানী
418,ক্যালেন্ডার
419,স্যুটকেস
420,ব্রিফকেস
421,ঘর/কক্ষ
423,বারান্দা
424,ইট
425,সিমেন্ট
426,বালু
427,টর্চলাইট
429,সর্দি
430,কাশি
431,যক্ষা
432,ম্যালেরিয়া
433,এইডস
434,জন্ডিস
435,বাত
436,হৃদরোগ
438,অস্বস্তি
439,দুর্বল
440,চিকিৎসা
441,হোমিওপ্যাথ
443,ব্যান্ডেজ
444,তুলা
445,স্টেথিস্কোপ
446,এক্সরে
447,মলম
448,স্যাভলন
449,ভিটামিন
450,কৃমি
451,প্রাথমিক বিদ্যালয়
453,মাধ্যমিক বিদ্যালয়
455,উচ্চ মাধ্যমিক
457,স্নাতক/গ্রাজুয়েশন
459,সনদপত্র
460,প্রশংসাপত্র
462,শিক্ষিত
463,নিরক্ষর
464,উত্তর/জবাব
466,ভর্তি
467,ফরম
468,বহিষ্কার
469,ছুটি
470,বিরতি
471,নোটিশ
472,খাতা
473,ডাস্টার
474,রুটিন
475,বেত
477,চিঠি
